Date,Withdrawls,Deposits,UPI
11/21/2022,260,,yes
11/21/2022,14,,yes
11/22/2022,55,,yes
11/22/2022,439,,yes
11/22/2022,,"60,000.00",no
11/23/2022,145.99,,no
11/23/2022,"1,500.00",,no
11/23/2022,21,,no
11/23/2022,3.78,,no
11/24/2022,60,,yes
11/25/2022,70,,yes
11/25/2022,14,,yes
11/25/2022,500,,yes
11/25/2022,21,,no
11/25/2022,3.78,,yes
11/26/2022,148.5,,yes
11/26/2022,92,,yes
11/26/2022,200,,yes
11/26/2022,500,,no
11/26/2022,21,,no
11/26/2022,3.78,,no
11/26/2022,831,,no
11/26/2022,355,,no
11/26/2022,148,,yes
11/26/2022,430,,yes
11/27/2022,"1,000.00",,no
11/27/2022,21,,no
11/27/2022,3.78,,no
11/27/2022,,"3,050.00",no
11/27/2022,80,,yes
11/27/2022,"3,020.00",,yes
11/28/2022,"1,000.00",,no
11/28/2022,21,,no
11/28/2022,3.78,,no
11/28/2022,"1,422.00",,no
11/28/2022,266,,no
11/29/2022,500,,no
11/29/2022,21,,no
11/29/2022,3.78,,no
11/29/2022,230,,yes
11/29/2022,175,,yes
11/30/2022,90,,yes
11/30/2022,14,,yes
11/30/2022,55,,yes
11/30/2022,350,,yes
11/30/2022,500,,no
11/30/2022,21,,no
11/30/2022,3.78,,no
11/30/2022,,262,no
12/1/2022,180,,yes
12/1/2022,240,,yes
12/1/2022,100,,yes
12/2/2022,"5,000.00",,no
12/2/2022,150,,yes
12/3/2022,120,,yes
12/5/2022,22.5,,yes
12/5/2022,60,,yes
12/5/2022,900,,yes
12/6/2022,22.5,,yes
12/6/2022,,250,yes
12/6/2022,320,,yes
12/6/2022,150,,yes
12/6/2022,100,,yes
12/6/2022,,100,yes
12/6/2022,100,,yes
12/7/2022,,84,yes
12/7/2022,662,,yes
12/7/2022,,140,yes
12/7/2022,"3,000.00",,yes
12/8/2022,,80,yes
12/8/2022,"1,424.00",,yes
12/9/2022,215,,yes
12/10/2022,100,,yes
12/10/2022,"2,500.00",,yes
12/10/2022,220,,yes
12/10/2022,219,,yes
12/11/2022,"3,245.00",,yes
12/11/2022,"1,000.00",,no
12/11/2022,"1,500.00",,no
12/11/2022,310,,yes
12/12/2022,"4,000.00",,no
12/12/2022,21,,no
12/12/2022,3.78,,no
12/12/2022,148,,yes
12/12/2022,417,,yes
12/12/2022,200,,yes
12/12/2022,200,,yes
12/12/2022,"1,300.00",,no
12/12/2022,100,,no
12/13/2022,15,,yes
12/13/2022,14,,yes
12/13/2022,100,,yes
12/13/2022,17.7,,no
12/14/2022,,"1,550.00",no
12/14/2022,180,,yes
12/14/2022,"1,988.91",,no
12/15/2022,14,,yes
12/15/2022,,70,no
12/15/2022,128,,yes
12/16/2022,15,,yes
12/16/2022,40,,yes
12/16/2022,55,,yes
12/16/2022,92,,yes
12/16/2022,38,,yes
12/17/2022,170,,yes
12/17/2022,"1,500.00",,no
12/17/2022,21,,no
12/17/2022,3.78,,no
12/17/2022,95,,yes
12/18/2022,460,,yes
12/18/2022,60,,yes
12/18/2022,15,,yes
12/18/2022,47,,yes
12/18/2022,15.2,,yes
12/18/2022,80,,yes
12/18/2022,185,,no
