Date,Withdrawls,Total,Yes,No
2023-01-10,510.0,1,0,1
2023-01-11,280.0,4,4,0
2023-01-12,0.0,0,0,0
2023-01-13,3035.5,7,7,0
2023-01-14,0.0,0,0,0
2023-01-15,92.0,1,1,0
2023-01-16,3595.3,4,3,1
2023-01-17,164.0,2,2,0
2023-01-18,3124.7799999999997,4,1,3
2023-01-19,2024.78,3,0,3
2023-01-20,304.0,3,3,0
2023-01-21,2214.7799999999997,4,1,3
2023-01-22,368.0,3,3,0
2023-01-23,1058.0,5,5,0
2023-01-24,2352.7799999999997,7,4,3
2023-01-25,2224.78,4,1,3
2023-01-26,790.0,4,4,0
2023-01-27,1299.78,5,2,3
2023-01-28,250.0,5,5,0
2023-01-29,15207.0,4,3,1
2023-01-30,0.0,0,0,0
2023-01-31,674.0,4,4,0
2023-02-01,200.0,1,1,0
2023-02-02,0.0,0,0,0
2023-02-03,81.0,2,2,0
2023-02-04,1346.0,8,8,0
2023-02-05,1827.0,1,1,0
2023-02-06,4955.0,11,6,5
2023-02-07,0.0,0,0,0
2023-02-08,250.0,2,2,0
2023-02-09,240.0,2,2,0
2023-02-10,5518.0,2,0,2
2023-02-11,850.0,2,2,0
2023-02-12,0.0,0,0,0
2023-02-13,0.0,0,0,0
2023-02-14,20.0,1,1,0
2023-02-15,15000.0,2,0,2
2023-02-16,0.0,0,0,0
2023-02-17,400.0,6,6,0
2023-02-18,1909.0,4,2,2
2023-02-19,60.0,1,1,0
2023-02-20,36800.0,5,3,2
2023-02-21,0.0,0,0,0
2023-02-22,180.0,2,2,0
2023-02-23,6024.78,4,1,3
2023-02-24,270.0,2,2,0
2023-02-25,527.0,5,5,0
2023-02-26,0.0,0,0,0
2023-02-27,15024.779999999999,9,5,4
2023-02-28,380.0,1,1,0
2023-03-01,5130.0,3,1,2
2023-03-02,2050.0,2,2,0
2023-03-03,1540.0,5,5,0
2023-03-04,200.0,1,1,0
2023-03-05,160.0,1,1,0
2023-03-06,10732.0,3,2,1
2023-03-07,0.0,0,0,0
2023-03-08,489.0,1,1,0
2023-03-09,195.0,2,2,0
2023-03-10,320.0,1,1,0
2023-03-11,3768.0,6,6,0
2023-03-12,1003.0,2,1,1
2023-03-13,4665.860000000001,5,3,2
2023-03-14,2217.0,4,3,1
2023-03-15,360.0,2,2,0
2023-03-16,3024.0,2,0,2
2023-03-17,16980.5,6,6,0
2023-03-18,0.0,0,0,0
2023-03-19,71.0,1,1,0
2023-03-20,629.0,4,4,0
2023-03-21,150.0,1,1,0
2023-03-22,168.2,2,1,1
2023-03-23,170.0,2,2,0
2023-03-24,0.0,0,0,0
2023-03-25,0.0,0,0,0
2023-03-26,0.0,0,0,0
2023-03-27,0.0,0,0,0
2023-03-28,0.0,0,0,0
2023-03-29,0.0,0,0,0
2023-03-30,0.0,0,0,0
2023-03-31,2006.5,3,3,0
